ID	Weight	UserId	UserToken	LangCode	Team	ManorId	TargetUserId	FollowEnterType	Sex	IsRobot	RobotId	PicUrl
ID	启动权重(越大越优先)	玩家平台ID	玩家Token	客户端语言代号	玩家队伍	领地ID	目标玩家ID	是否有观战目标	性别	是否为机器人	机器人id	头像Url
1	1	112	a09c41e588683d81eb84a51d68eb0a6e90c9540c	zh_CN	1	1	112	0	1	0	0	https://dss0.bdstatic.com/70cFuHSh_Q1YnxGkpoWK1HF6hhy/it/u=1432121695,1948459179&fm=26&gp=0.jpg
2	1	144	545bd91b15881541ed8cc9186507460fc313f7b3	zh_CN	2	2	112	0	1	1	1	https://ss1.bdstatic.com/70cFuXSh_Q1YnxGkpoWK1HF6hhy/it/u=961358202,1985061065&fm=26&gp=0.jpg
3	1	160	6aece68adee6b636751ada5ea94a45b5d40b0e66	zh_CN	1	3	160	0	1	1	1	https://ss0.bdstatic.com/70cFvHSh_Q1YnxGkpoWK1HF6hhy/it/u=1523078728,728355950&fm=26&gp=0.jpg
4	1	176	af2758aee022524f7eafa0ee2c3c1aa8df1b1af0	zh_CN	1	4	176	0	2	1	1	https://ss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=3030014422,2546721547&fm=26&gp=0.jpg
5	1	192	934bbe138c0f6504f7d3f0993db5a9ec92bd62f3	zh_CN	1	5	192	0	2	1	1	https://ss1.bdstatic.com/70cFuXSh_Q1YnxGkpoWK1HF6hhy/it/u=1748007207,2126776394&fm=26&gp=0.jpg
6	1	208	2b416a39a40d5faf8a6d8c7474327336d9367d80	zh_CN	4	6	208	0	2	1	1	
7	1	57715347586	6aece68adee6b636751ada5ea94a45b5d40b0e66	zh_CN	2	3	160	0	1	1	1	
8	1	6955580290	af2758aee022524f7eafa0ee2c3c1aa8df1b1af0	zh_CN	2	4	176	0	2	1	1	
9	1	92275647378	934bbe138c0f6504f7d3f0993db5a9ec92bd62f3	zh_CN	2	5	192	0	2	1	1	
10	1	104231892706	2b416a39a40d5faf8a6d8c7474327336d9367d80	zh_CN	4	6	208	0	2	1	1	
11	1	42074606914	6aece68adee6b636751ada5ea94a45b5d40b0e66	zh_CN	3	3	160	0	1	1	1	
12	1	24295807490	af2758aee022524f7eafa0ee2c3c1aa8df1b1af0	zh_CN	3	4	176	0	2	1	1	
13	1	157979325618	934bbe138c0f6504f7d3f0993db5a9ec92bd62f3	zh_CN	3	5	192	0	2	1	1	
14	1	7580325106	2b416a39a40d5faf8a6d8c7474327336d9367d80	zh_CN	3	6	208	0	2	1	1	
15	1	212	2b416a39a40d5faf8a6d8c7474327336d9367d80	zh_CN	4	6	208	0	2	1	1	
